source,target,weight
shopping,fashion,24139389
trends,fashion,12570933
meal,ingredient,7230781
fashion,celebrity-style,16725597
reviews,albums,9921232
simple-cooking,ingredient,6792531
fashion,estilo-vogue,11475074
ingredient,dinner,5479044
meal,dinner,5468937
hair,beauty,6042345
recipes,ingredient,7469942
vegetable,ingredient,4675147
simple-cooking,meal,5051499
recipes,diet,6303645
simple-cooking,easy,5451411
ingredient,diet,6070382
meal,main,4472331
shoes,fashion,9113893
main,ingredient,4403766
vegetable,meal,3290322
ingredient,easy,5080160
main,dinner,4412813
recipes,easy,4819680
recipes,meal,5969448
makeup,beauty,3763738
ingredient,cuisine,5469455
wellness,beauty,7482448
recipes menus,ingredient,2063580
shopping,beauty,9294212
source,recipes menus,2068997
simple-cooking,dinner,3990332
vegetable,dinner,2867603
recipes,meal-time,5452841
recipes,dish,5842831
meal-time,ingredient,4873568
ingredient,dish,5763533
meal,diet,5101085
fashion,actualites,3774804
source,ingredient,1771495
movies,entertainment,3860890
meal,easy,4036903
meal-time,diet,4646157
recipes,dinner,5061402
meal-time,dinner,5182570
type,recipes menus,1841738
meal-time,meal,4667653
nut-free,ingredient,4912980
simple-cooking,recipes,5367513
vegetable,simple-cooking,3019979
sneakers,fashion,4786889
type,ingredient,1627490
special-consideration,recipes menus,1935700
meal,cuisine,4388838
nut-free,diet,5026431
recipes,nut-free,5025204
simple-cooking,main,3193213
dinner,diet,4254964
special-consideration,ingredient,1772615
vegetarian,recipes,3098773
vegetarian,ingredient,3417948
celebrity-style,celebrities,5711354
special-consideration,source,1693886
simple-cooking,diet,4428379
style,celebrities,7761397
dish,diet,4692740
recipes menus,meal,1382027
type,source,1616722
vegetable,main,2281600
slideshow,fashion-shows,703042
easy,dinner,3126084
music,entertainment,2567528
ingredient,dairy-free,2701025
music,culture,3971570
nut-free,meal,4078677
recipes,cooking-method,3529939
technique,ingredient,1747091
kuniyasu-inagaki,cars,3270977
vegetable,recipes,3284422
ingredient,cooking-method,3909341
technique,recipes menus,1811906
recipes,main,3894767
meal-time,main,3895154
simple-cooking,quick,3559709
vegetarian,meal,2882719
people,celebrities,4480169
fashion-shows,collection,694830
slideshow,collection,694830
source,meal,1087417
simple-cooking,meal-time,3648276
meal,dish,4257442
simple-cooking,recipes menus,1641142
dinner,cuisine,3618702
technique,source,1617306
shopping,products,8119982
vegetable,diet,3015241
main,diet,3776795
fashion-shows,fall-2024-ready-to-wear,1701061
vegetarian,easy,2642168
shows,entertainment,3431039
quick,ingredient,3255769
meal,dairy-free,2031681
special-consideration,meal,1373932
source,simple-cooking,1474875
fashion,celebrities,6429187
diet,cooking-method,3064955
nut-free,meal-time,3576926
met gala,fashion,10919803
easy,diet,3701106
type,special-consideration,1582351
vegetable,easy,2319576
entertainment,culture,2645080
nut-free,dinner,3372786
entertainment,celebrities,1520244
vegetable,meal-time,2449385
tree-nut-free,special-consideration,1435242
simple-cooking,cuisine,4032373
tree-nut-free,recipes menus,1433127
quick,easy,3150070
reporting,magazine,6705467
tree-nut-free,source,1385553
meal-time,dish,3344046
shopping,gear,7876978
simple-cooking,nut-free,3538448
products,gear,8474122
vegetarian,simple-cooking,3157111
main,easy,2476176
simple-cooking,dish,4224599
type,technique,1475241
jeans,fashion,6274021
tree-nut-free,ingredient,1113100
technique,special-consideration,1548389
tv,entertainment,4148633
skin,beauty,3038714
dinner,dairy-free,1613953
simple-cooking,dairy-free,2238331
recipes,cuisine,4512633
special-consideration,simple-cooking,1412304
recipes,gluten-free,2347678
recipes menus,dinner,945664
quick,meal,2547411
vegetarian,vegetable,2157552
meal,cooking-method,2816876
culture,cinema,1130455
vegetable,cuisine,2230892
lede-image-right-aligned,lede-image-layout,970958
weeknight-meals,simple-cooking,2427554
type,meal,957929
ingredient,fruit,1996982
main,cuisine,3071484
meal-time,easy,2893365
ingredient,gluten-free,2250577
weeknight-meals,ingredient,2266960
fashion-trends,fashion,3154070
vegetarian,dinner,2064567
nut-free,dish,3783713
type,simple-cooking,1243588
meal-time,cooking-method,2302199
nut-free,main,3108742
estilo-de-vida,culture,3437263
nike,fashion,2149483
source,dinner,744554
weeknight-meals,dinner,2352702
dish,dinner,3060866
special-consideration,dinner,864005
weeknight-meals,meal,2271039
gluten-free,diet,2348146
netflix,culture,3842508
vegetable,nut-free,2239034
technique,meal,1063606
vegetarian,diet,2750503
vegetable,recipes menus,654112
movies,hollywood,3642023
recipes menus,cuisine,1269157
diet,cuisine,3912423
tree-nut-free,meal,709821
who tv,entertainment,2479646
nut-free,easy,3106540
films,cinema,1161828
tv-serie,shows,2883743
fashion trends,fashion,2305143
dinner,cooking-method,2094683
quick,dinner,2092370
main,dairy-free,1265787
films,culture,1510305
diet,dairy-free,2120112
recipes,dairy-free,2109944
weeknight-meals,main,2080141
meal,gluten-free,1482542
easy,dish,3500017
vegetable,dish,2315261
vegetable,source,613192
dish,cooking-method,2732535
nut-free,cooking-method,2476207
source,cuisine,1096431
type,tree-nut-free,1072945
easy,cuisine,3274269
watches,fashion,1095590
tendencias-primavera-verano-2024,fashion,2433608
relojes-y-accesorios,fashion,1450090
tree-nut-free,technique,1159282
tree-nut-free,simple-cooking,1037039
culture,actualites,801754
ingredient,dessert,1429340
netflix,entertainment,3998679
recipes menus,easy,915331
shopping,commerce,40754
technique,simple-cooking,1274983
simple-cooking,cooking-method,2519763
shopping,gq-recommends,1905337
easy,dairy-free,1790891
vegetable,dairy-free,1341144
tutorials,kitchen,845545
vegetable,special-consideration,621631
body,beauty,1378517
weeknight-meals,easy,2005103
source,easy,801611
movies,culture,2653228
tv,culture,3283903
meal-time,cuisine,3219395
recipes menus,main,576903
main,dish,2699897
recipes menus,occasion,1045290
source,main,569923
skincare,beauty,1639955
meat,ingredient,1844265
style,fashion,4830718
recipes,quick,2866466
occasion,ingredient,1010918
dish,cuisine,3642169
type,cuisine,995081
notizie-del-giorno,attualita,1542892
weeknight-meals,vegetable,1196558
special-consideration,cuisine,1174851
main,cooking-method,1893809
nut-free,cuisine,3358081
special-consideration,main,513011
fashion,events,8873462
ingredient,cheese,1833760
vegetable,quick,1253683
television,hollywood,2868479
tree-nut-free,dinner,572088
shouts-murmurs,humor,1577809
houses,case,2274292
celebrity-beauty,beauty,2290098
united-states,north-america,2547378
vegetarian,meal-time,1893717
sneakers,nike,1791092
wheat-gluten-free,special-consideration,1171763
special-consideration,easy,847846
wellness,health,1303216
wheat-gluten-free,recipes menus,1111668
quick,main,1826034
quick,diet,2536327
meal-time,gluten-free,1352480
simple-cooking,gluten-free,1678411
gluten-free,dinner,1233572
meal-time,dairy-free,1358000
vegetable,cooking-method,1491225
nut-free,gluten-free,1880083
technique,dinner,759747
trends,beauty,1464285
wheat-gluten-free,source,970485
health,beauty,1317539
trending-news,entertainment,4146788
tv-and-movies,culture,2410697
european,cuisine,3140536
shopping,lifestyle,1525635
vegetable,type,533649
vegetarian,cuisine,2267808
fashion-week,fashion,902498
type,dinner,373512
fashion news,fashion,1046628
fashion,dresses,2635105
pants,fashion,2073593
gluten-free,easy,1513688
easy,cooking-method,2130177
politics,donald-trump,1927363
poultry,ingredient,1291809
wheat-gluten-free,ingredient,1036161
vegetarian,special-consideration,1029336
tennis,fashion,2191873
trips-traveling,travel,2484504
vegetarian,main,1456698
starlook,fashion,1793462
culture,books,1692363
vegetarian,dish,2138402
beauty trends,beauty,1311937
side,meal,1293971
weeknight-meals,meal-time,2201160
meat,meal,1604463
source,occasion,780969
weeknight-meals,recipes,2120215
slideshow,fall-2024-ready-to-wear,542948
shopping,shoes,4805999
type,dessert,877430
shopping,actualites,1846552
lunch,ingredient,1224114
side,ingredient,1259744
vegetarian,recipes menus,1012411
quick,meal-time,1973666
source,epicurious,761902
recipes menus,epicurious,759787
ingredient,european,2835377
dairy-free,cuisine,1574123
shows,cinema,828263
type,easy,665296
vegetable,gluten-free,1219313
meat,dinner,1586301
taylor-swift,entertainment,2302957
celebrity-style,ad,2031366
culture,actu-culture,664648
weeknight-meals,diet,1962488
shows,music,487720
technique,cuisine,1085950
trends,shopping,2465239
vegetarian,nut-free,2116277
tree-nut-free,main,427706
reviews,cars,1339320
meal,lunch,1214957
streetstyle,fashion,2022994
beaute,actualites,1278404
ingredient,chicken,1188476
ingredient,epicurious,719262
poultry,chicken,1188476
lunch,dinner,1229138
weeknight-meals,quick,1680707
travel,lifestyle,853740
vegetarian,source,871138
vegetable,tree-nut-free,449304
vegetable,technique,518883
the-critics,magazine,1924679
actualites,actu-culture,648249
simple-cooking,fruit,1219102
type,occasion,602011
perfumes,beauty,1574120
winter,recipes,447038
technique,bake,540075
tree-nut-free,cuisine,831162
shopping,reviews,1349483
cuisine,american,1140252
houses,home-tour,2021698
home-tour,case,2021698
red-carpet,fashion,5296035
fall-2024-ready-to-wear,collection,535209
tree-nut-free,easy,550554
lifestyle,culture-and-life,1516807
nut-free,dairy-free,1487378
recipes,holidays,1468607
technique,occasion,805825
reviews,kuniyasu-inagaki,1223751
vegetarian,quick,1805388
cuisine,cooking-method,2216036
healthyish,diet,848275
layout-image-none,hero-layouts,2500173
meat,main,1414407
movie theater,culture,886192
special-consideration,dairy-free,705649
hollywood,award-season,4258392
occasion,meal,878789
meal,cheese,1386367
tv-serie,entertainment,2427140
recipes menus,dairy-free,704181
wheat-gluten-free,tree-nut-free,784679
ingredient,american,1125947
source,dairy-free,610788
health-conditions,health,1407714
spring,recipes,758852
news,culture,648150
magazine,archive-restoration,1452492
ingredient,healthyish,727081
travel,places-to-stay,2120329
trends,tendencias-primavera-verano-2024,1168666
fashion,adidas,1405149
vegetarian,dairy-free,1203991
source,cookbooks,549263
type,bake,469088
ingredient,equipment,569681
wheat-gluten-free,meal,652213
main,gluten-free,926186
culture,arts,594092
ingredient,holidays,1459001
places-to-stay,hotels,1759471
recipes,meat,1498777
meal,fruit,1211456
celebrities,ad,1822198
reviews,opinion,13467
poultry,dinner,1069459
poultry,meal,1002329
recipes menus,cookbooks,524042
india,asia,1462283
zendaya,fashion,2000560
technique,main,446490
primavera-verano-2024,fashion,2628950
star style,fashion,1535612
type,main,310727
travel,hotels,1315995
wheat-gluten-free,simple-cooking,918613
vegetable,side,956410
special-consideration,occasion,790606
gluten-free,dairy-free,1308322
recipes menus,quick,692911
taylor-swift,celebrities,1920933
quick,dish,2373968
luxury,fashion,1001923
technique,easy,698837
quick,dairy-free,1254395
events,celebrity-style,6647077
source,quick,593268
science,health,1166857
trending-news,fashion,2797722
places-to-stay,europe,1490537
recipes menus,dessert,724348
vegetarian,type,803235
wellness-fitness,beauty,2806259
health,beauty-benessere,1470191
wheat-gluten-free,technique,916035
quick,nut-free,2007839
gear,buying-guides,6213195
root-vegetable,ingredient,567088
recipes,healthyish,772795
gluten-free,cooking-method,790103
vegetable,root-vegetable,566329
vegetarian,gluten-free,1068506
hollywood,awards,2360318
magazine,lede-image-layout,676192
quick,cuisine,2304792
magazine,lede-image-right-aligned,676192
recipes menus,equipment,464764
other-ingredients,ingredient,1196065
season,recipes,1059223
fashionnews,fashion,2121140
dish,dairy-free,1507536
skin-care,shopping,3062269
meal,european,2385563
shopping,hair,2563272
dinner,chicken,992978
shopping,makeup,1613502
meal,chicken,926071
poultry,main,911947
gluten-free,dish,1411616
shopping,buying-guides,6033216
met gala,events,9287218
season,ingredient,903385
dairy-free,cooking-method,957728
fashion,bags,1437635
trend-and-story,fashion,1005793
satire,humor,861615
sneakers,relojes-y-accesorios,1040152
fashion,boots,566035
culture-and-living,culture,2000296
experts,beauty,978306
hairstyles,beauty,1016537
seafood,ingredient,926807
vegetarian,vegan,1023851
recipes,fruit,977131
peliculas,entertainment,1398634
source,equipment,361990
interiors,interiorism,1226842
ingredient,herb,668090
primavera-verano-2024,estilo-vogue,2519451
the-places,north-america,2291754
snack,meal,1088265
recipes,other-ingredients,1121773
reviews,products,1238532
fruit,citrus,949934
ingredient,citrus,949934
reviews,gear,1379857
type,epicurious,629716
flip flops,fashion,3039253
vegetable,lunch,733327
beauty tips,beauty,1048255
cuisine,asian,920930
tu-vida,discover,1326693
technique,dessert,696944
horoscopos,estilo-de-vida,3353336
vegetable,cheese,825498
dinner,cheese,1286503
awards,award-season,2324602
ingredient,cookbooks,310870
stories,cars,972679
shopping,expert advice,827336
sports,beauty,1126421
side,dinner,740183
bien-etre,beaute,1084851
update-me,fashion,1084726
main,chicken,884118
recipes menus,fruit,716296
decoracion,casas-ad,1013444
vegetarian,side,1009115
italy,europe,1426628
louis-vuitton,fashion,547291
the oscars,fashion,4016187
jeans,estilo-vogue,3121545
fashion,accessories,1415405
gucci,fashion,705368
recipes menus,bake,397254
skirts,fashion,1962744
simple-cooking,make-ahead,994159
wheat-gluten-free,dinner,478521
ingredient,dairy,421830
meal,healthyish,658135
cinema,actualites,456661
simple-cooking,lunch,858249
recipes,medium,362917
products,buying-guides,5669352
special-consideration,epicurious,542847
wheat-gluten-free,type,751244
simple-cooking,side,1002461
recipes menus,herb,603952
vegan,ingredient,925621
ecrans,culture,339200
simple-cooking,cheese,1246816
simmer,ingredient,907304
shouts-murmurs,satire,853568
type,equipment,538960
root-vegetable,recipes menus,454056
special-consideration,quick,626504
vogue-shops,shopping,1355398
holidays,diet,980781
snack,ingredient,1052728
source,fruit,599679
recipes menus,bon-appetit,163205
ingredient,asian,850388
ingredient,bake,341154
source,bon-appetit,163205
vegetarian,tree-nut-free,627312
fashion,culture,2419262
type,cookbooks,374827
source,herb,597381
fruit,easy,882317
vegetarian,cooking-method,1225536
make-ahead,ingredient,854608
jennifer-lopez,fashion,1247118
hero-options,hero-layouts,2281475
source,dessert,607837
european,dinner,2006640
films,entertainment,588475
vogue-shops,fashion,1189210
weeknight-meals,dairy-free,671179
recipes,dessert,891964
vegan,dairy-free,989214
dessert,bake,388912
royautes,people,531404
ingredient,bon-appetit,162576
fashion,chanel,692821
mental-health,health,607089
real-estate,celebrity-style,1607933
magazine,books,1294641
people,kate-middleton,2513462
ingredient,herbs-spices,1292208
weeknight-meals,cuisine,1674498
weeknight-meals,dish,1631576
simple-cooking,epicurious,484725
music,celebrities,1729643
weeknight-meals,nut-free,1455267
skin-care,skin,1710083
season,diet,714829
opinion,culture,1161470
simple-cooking,meat,864762
real-estate,ad,1571730
source,root-vegetable,448676
shopping,beaute,712886
special-consideration,bon-appetit,159892
vegetable,meat,418713
source,bake,323836
travel,the-intel,2372521
recipes menus,dairy,331635
meat,meal-time,1376388
main,lunch,818050
fashion-news,fashion,384312
technique,epicurious,525306
shopping,amazon,803990
technique,equipment,503266
recipes,lunch,1016692
recipes,herbs-spices,909189
shopping,accessories,2304595
meal-time,healthyish,680031
weeknight-meals,vegetarian,1050828
type,fruit,527425
special-consideration,equipment,399468
tree-nut-free,dairy-free,433842
united-states,the-places,1794795
who tv,peliculas,1194323
jewelry,fashion,621395
recipes,cheese,1509418
interviews,culture,1352348
ingredient,baking,1429114
meal,american,888839
gluten-free,cuisine,1284293
hairstyles,hair,1200917
architecture-design,architecture,1316684
season,meal,779512
other-ingredients,diet,908380
estilo-vogue,dresses,1904151
web-exclusive-home-tour,architecture-design,1592299
real-estate,celebrities,1521741
trends,shoes,1617803
source,dairy,325121
simple-cooking,dessert,946468
travel,the-bests,1638539
vegetarian,technique,777851
root-vegetable,meal,360827
type,quick,506603
lifestyle,culture,702406
text-container-large,hero-options,2229695
meal,holidays,1162468
health-and-fitness,beauty,3247628
ingredient,breakfast,576056
skin-care,beauty,1240000
parties,living,389940
shoes,estilo-vogue,1602569
seafood,meal,614901
meal,epicurious,411182
nails,beauty,1900562
dish,dessert,888108
simple-cooking,european,2382209
en-vue,beaute,606472
how-to-and-advice,gear,1949468
vegetable,bean,328342
fashion-shows,fall-2024-menswear,31653
entertainment,celebritynews,1032935
ingredient,bean,328342
wheat-gluten-free,vegetable,320849
fashion,beauty,665649
science,environment,1431204
technique,dairy-free,566739
meal-time,lunch,969911
vogue-favourites,shopping,1376681
keishi-iwata,fashion,472392
interiors,diseno,1120548
interiorism,diseno,1120548
meal,asian,736319
special-consideration,root-vegetable,431501
wheat-gluten-free,easy,640712
dessert,cake,517579
hair,beauty-benessere,543189
the-places,europe,2031461
holidays,dish,935586
occasion,dinner,533991
winter,easy,152983
simple-cooking,poultry,768915
vegan,meal,603125
meat,diet,1268189
weddings,fashion,1008866
hair,celebrity-beauty,1750351
society,celebrities,1464378
real-estate,celebrity-real-estate,1483130
herbs-spices,diet,842920
series,culture,808173
fruit,diet,708337
movie theater,entertainment,732547
simmer,meal,614950
star-style-mode,fashion,952190
meal,bon-appetit,130190
other-ingredients,dish,942512
security,privacy,1657822
special-consideration,cookbooks,466340
space,science,835862
meat,cuisine,1280122
tutorials,i-consigli,397844
vegetarian,cheese,964799
fruit,dish,767507
seafood,dinner,611987
weeknight-meals,recipes menus,219903
meal,cookbooks,252116
technique,cookbooks,455308
simple-cooking,occasion,572568
entertainment,bollywood,581957
scoop,celebrities,574431
celebrity-style,celebrity-real-estate,1469059
healthyish,dinner,564433
main,cheese,1135018
simple-cooking,chicken,766764
celebrity-real-estate,ad,1454072
trips-traveling,the-intel,1708134
tree-nut-free,occasion,413463
type,dairy-free,380541
lunch,easy,565245
simple-cooking,healthyish,551709
cooking-method,baking,1497792
style,sneakers,933524
fruit,dessert,539206
taylor-swift,music,2099601
update-me,fashion-trends,1024355
tendencias-otono-invierno-2023-2024,fashion,398453
royalty,familia-real-britanica,1023683
season,dish,743098
peliculas,culture,979266
series,netflix,482626
meal,breakfast,689751
gq-recommends,fashion,439345
side,easy,842682
meal,equipment,405828
politics,2024-election,1055517
simple-cooking,equipment,353155
spring,easy,352899
pasta,ingredient,1598611
side,recipes,1015407
diet,cheese,1252627
vegetable,occasion,272522
recipes menus,european,717831
film-tv,arts-and-lifestyle,455633
fragrances,beauty,829299
simmer,dinner,609632
recipes,baking,1157958
the-bests,europe,1194728
sustainability,fashion,356618
recipes,pasta,1838528
recipes menus,make-ahead,597258
fashion-shows,fashion,1011195
vegetable,healthyish,511477
healthyish,dish,390634
stories,kuniyasu-inagaki,861183
weeknight-meals,source,173559
unas,beauty,842147
type,dairy,299963
season,meal-time,762931
pasta,dinner,1646990
recipes,breakfast,466399
roast,ingredient,536921
